id	proxy	label_cateogory
1	http://purl.org/collections/nl/am/proxy-69550	http://purl.org/collections/nl/am/t-22503
2	http://purl.org/collections/nl/am/proxy-6266	http://purl.org/collections/nl/am/t-15459
3	http://purl.org/collections/nl/am/proxy-47358	http://purl.org/collections/nl/am/t-22503
4	http://purl.org/collections/nl/am/proxy-44707	http://purl.org/collections/nl/am/t-5504
5	http://purl.org/collections/nl/am/proxy-24708	http://purl.org/collections/nl/am/t-15579
6	http://purl.org/collections/nl/am/proxy-52876	http://purl.org/collections/nl/am/t-22503
7	http://purl.org/collections/nl/am/proxy-54032	http://purl.org/collections/nl/am/t-22503
8	http://purl.org/collections/nl/am/proxy-27766	http://purl.org/collections/nl/am/t-5504
9	http://purl.org/collections/nl/am/proxy-46020	http://purl.org/collections/nl/am/t-14592
10	http://purl.org/collections/nl/am/proxy-48140	http://purl.org/collections/nl/am/t-22504
11	http://purl.org/collections/nl/am/proxy-57926	http://purl.org/collections/nl/am/t-22503
12	http://purl.org/collections/nl/am/proxy-8521	http://purl.org/collections/nl/am/t-15606
13	http://purl.org/collections/nl/am/proxy-69329	http://purl.org/collections/nl/am/t-22503
14	http://purl.org/collections/nl/am/proxy-39878	http://purl.org/collections/nl/am/t-22505
15	http://purl.org/collections/nl/am/proxy-43647	http://purl.org/collections/nl/am/t-22505
16	http://purl.org/collections/nl/am/proxy-3171	http://purl.org/collections/nl/am/t-22503
17	http://purl.org/collections/nl/am/proxy-8799	http://purl.org/collections/nl/am/t-15606
18	http://purl.org/collections/nl/am/proxy-48798	http://purl.org/collections/nl/am/t-22504
19	http://purl.org/collections/nl/am/proxy-477	http://purl.org/collections/nl/am/t-22503
20	http://purl.org/collections/nl/am/proxy-10993	http://purl.org/collections/nl/am/t-22508
21	http://purl.org/collections/nl/am/proxy-57169	http://purl.org/collections/nl/am/t-22503
22	http://purl.org/collections/nl/am/proxy-41494	http://purl.org/collections/nl/am/t-22505
23	http://purl.org/collections/nl/am/proxy-27880	http://purl.org/collections/nl/am/t-15579
24	http://purl.org/collections/nl/am/proxy-73781	http://purl.org/collections/nl/am/t-15459
25	http://purl.org/collections/nl/am/proxy-38695	http://purl.org/collections/nl/am/t-22506
26	http://purl.org/collections/nl/am/proxy-27212	http://purl.org/collections/nl/am/t-5504
27	http://purl.org/collections/nl/am/proxy-40374	http://purl.org/collections/nl/am/t-22505
28	http://purl.org/collections/nl/am/proxy-37383	http://purl.org/collections/nl/am/t-22506
29	http://purl.org/collections/nl/am/proxy-10996	http://purl.org/collections/nl/am/t-22508
30	http://purl.org/collections/nl/am/proxy-66706	http://purl.org/collections/nl/am/t-5504
31	http://purl.org/collections/nl/am/proxy-59884	http://purl.org/collections/nl/am/t-22503
32	http://purl.org/collections/nl/am/proxy-12385	http://purl.org/collections/nl/am/t-15606
33	http://purl.org/collections/nl/am/proxy-15801	http://purl.org/collections/nl/am/t-5504
34	http://purl.org/collections/nl/am/proxy-23221	http://purl.org/collections/nl/am/t-15579
