proxy	id	label_cateogory
http://purl.org/collections/nl/am/proxy-69550	1.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-6266	2.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-47358	3.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-24708	5.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-54032	7.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-27766	8.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-46020	9.0	http://purl.org/collections/nl/am/t-14592
http://purl.org/collections/nl/am/proxy-48140	10.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-57926	11.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-8521	12.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-69329	13.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-39878	14.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-43647	15.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-3171	16.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-8799	17.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-48798	18.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-477	19.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-10993	20.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-57169	21.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-41494	22.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-27880	23.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-73781	24.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-38695	25.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-27212	26.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-40374	27.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-37383	28.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-10996	29.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-66706	30.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-59884	31.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-12385	32.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-15801	33.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-23221	34.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-52502	36.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-65743	38.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-66666	41.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-27666	43.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-3815	44.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-28862	45.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-42808	46.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-2360	47.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-38961	48.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-62646	49.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-7365	50.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-74110	52.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-31534	53.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-25361	54.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-70664	56.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-49237	57.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-38239	58.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-72323	59.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-30060	61.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-54477	62.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-14505	63.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-39502	64.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-32645	65.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-12959	66.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-11546	67.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-51646	68.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-49361	70.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-3239	71.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-2362	72.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-31878	73.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-12469	74.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-71827	75.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-62183	76.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-15189	77.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-47291	79.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-16713	80.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-10880	81.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-28809	83.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-61116	84.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-63674	85.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-21487	86.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-65535	87.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-19690	88.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-13765	89.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-8706	90.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-40732	91.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-48842	92.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-49305	93.0	http://purl.org/collections/nl/am/t-22504
http://purl.org/collections/nl/am/proxy-1325	95.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-68630	96.0	http://purl.org/collections/nl/am/t-14592
http://purl.org/collections/nl/am/proxy-62185	97.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-27009	98.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-21603	99.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-14263	100.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-23640	101.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-65598	102.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-33278	103.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-344	104.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-57176	105.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-7537	106.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-41891	108.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-47123	109.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-50378	110.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-74861	112.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-42375	113.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-9781	114.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-31273	115.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-7122	116.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-54269	117.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-32770	118.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-5703	119.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-28438	120.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-31311	121.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-24667	122.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-41409	124.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-8804	125.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-60584	126.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-43617	127.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-47069	128.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-38194	129.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-46066	130.0	http://purl.org/collections/nl/am/t-14592
http://purl.org/collections/nl/am/proxy-39253	131.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-41123	132.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-39300	133.0	http://purl.org/collections/nl/am/t-22506
http://purl.org/collections/nl/am/proxy-74805	138.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-9614	139.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-39782	140.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-70429	142.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-23782	143.0	http://purl.org/collections/nl/am/t-15579
http://purl.org/collections/nl/am/proxy-16467	144.0	http://purl.org/collections/nl/am/t-15459
http://purl.org/collections/nl/am/proxy-55124	145.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-46603	146.0	http://purl.org/collections/nl/am/t-22508
http://purl.org/collections/nl/am/proxy-55283	147.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-57963	149.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-42607	150.0	http://purl.org/collections/nl/am/t-22505
http://purl.org/collections/nl/am/proxy-61003	152.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-12391	153.0	http://purl.org/collections/nl/am/t-15606
http://purl.org/collections/nl/am/proxy-15201	155.0	http://purl.org/collections/nl/am/t-5504
http://purl.org/collections/nl/am/proxy-50978	158.0	http://purl.org/collections/nl/am/t-22503
http://purl.org/collections/nl/am/proxy-13000	159.0	http://purl.org/collections/nl/am/t-15606
