id	rock	label_lithogenesis
1	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/EMSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
2	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BISG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
3	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/DSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
4	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/CBAY	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
5	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/LHGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
6	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SDVY	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
7	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ETSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
8	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FEG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
9	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/KPGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
10	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BSGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
11	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MTIL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
12	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SURA	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
13	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BASG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
14	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/STAU	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
15	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BYSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
16	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/STSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
17	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BSSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
18	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SYSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
19	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
20	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RDFD	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
21	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WOGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
22	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/OULT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
23	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ALTD	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
24	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BDTN	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
25	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/AILT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
26	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FC	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
27	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MTON	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
28	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/DAY	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
