id	rock	label_lithogenesis
8.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FEG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
9.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/KPGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
10.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BSGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
11.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MTIL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
14.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/STAU	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
17.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BSSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
24.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BDTN	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
25.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/AILT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
48.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HEATH	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
52.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HISA	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
63.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HAGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
75.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ETIL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
78.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WIGS	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
79.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/CFSI	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
81.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FASG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
87.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/OKSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
88.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HNGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
90.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/LOFT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
92.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BKFD	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
98.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/USI	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
103.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/THGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
104.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ESI	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
120.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WAT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
121.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SUGL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
126.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BRLSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
133.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/KBSI	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
135.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MFT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
136.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FULB	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
140.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/DVA	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
