id	rock	label_lithogenesis
1.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/EMSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
2.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BISG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
3.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/DSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
4.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/CBAY	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
5.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/LHGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
6.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SDVY	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
7.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ETSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
12.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SURA	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
13.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BASG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
15.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BYSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
16.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/STSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
18.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SYSG	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
19.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FL	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
20.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RDFD	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
21.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WOGR	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/FLUV
22.0	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/OULT	http://data.bgs.ac.uk/id/Lexicon/LithogeneticType/GLACI
