id	bond	label_mutagenic
1	http://dl-learner.org/carcinogenesis#d305	0
2	http://dl-learner.org/carcinogenesis#d74	0
3	http://dl-learner.org/carcinogenesis#d187	1
4	http://dl-learner.org/carcinogenesis#d133	0
5	http://dl-learner.org/carcinogenesis#d148	0
6	http://dl-learner.org/carcinogenesis#d23_2	0
7	http://dl-learner.org/carcinogenesis#d330	1
8	http://dl-learner.org/carcinogenesis#d312	0
9	http://dl-learner.org/carcinogenesis#d78	1
10	http://dl-learner.org/carcinogenesis#d81	0
11	http://dl-learner.org/carcinogenesis#d295	0
12	http://dl-learner.org/carcinogenesis#d147	1
13	http://dl-learner.org/carcinogenesis#d313	1
14	http://dl-learner.org/carcinogenesis#d120	0
15	http://dl-learner.org/carcinogenesis#d72	1
16	http://dl-learner.org/carcinogenesis#d261	1
17	http://dl-learner.org/carcinogenesis#d253	0
18	http://dl-learner.org/carcinogenesis#d326	0
19	http://dl-learner.org/carcinogenesis#d268	0
20	http://dl-learner.org/carcinogenesis#d160	1
21	http://dl-learner.org/carcinogenesis#d248	0
22	http://dl-learner.org/carcinogenesis#d260	0
23	http://dl-learner.org/carcinogenesis#d269	1
24	http://dl-learner.org/carcinogenesis#d333	0
25	http://dl-learner.org/carcinogenesis#d287	0
26	http://dl-learner.org/carcinogenesis#d23_1	0
27	http://dl-learner.org/carcinogenesis#d85_2	0
28	http://dl-learner.org/carcinogenesis#d240	0
29	http://dl-learner.org/carcinogenesis#d156	1
30	http://dl-learner.org/carcinogenesis#d249	1
31	http://dl-learner.org/carcinogenesis#d1	0
32	http://dl-learner.org/carcinogenesis#d255	0
33	http://dl-learner.org/carcinogenesis#d100	0
34	http://dl-learner.org/carcinogenesis#d294	0
35	http://dl-learner.org/carcinogenesis#d274	0
36	http://dl-learner.org/carcinogenesis#d89	1
37	http://dl-learner.org/carcinogenesis#d106	1
38	http://dl-learner.org/carcinogenesis#d281	0
39	http://dl-learner.org/carcinogenesis#d239	1
40	http://dl-learner.org/carcinogenesis#d247	0
41	http://dl-learner.org/carcinogenesis#d2	1
42	http://dl-learner.org/carcinogenesis#d101	1
43	http://dl-learner.org/carcinogenesis#d324	1
44	http://dl-learner.org/carcinogenesis#d152	1
45	http://dl-learner.org/carcinogenesis#d85_1	0
46	http://dl-learner.org/carcinogenesis#d97	0
47	http://dl-learner.org/carcinogenesis#d63	1
48	http://dl-learner.org/carcinogenesis#d178	0
49	http://dl-learner.org/carcinogenesis#d171	1
50	http://dl-learner.org/carcinogenesis#d234	0
51	http://dl-learner.org/carcinogenesis#d44	0
52	http://dl-learner.org/carcinogenesis#d144	1
53	http://dl-learner.org/carcinogenesis#d208_1	0
54	http://dl-learner.org/carcinogenesis#d19	1
55	http://dl-learner.org/carcinogenesis#d158	0
56	http://dl-learner.org/carcinogenesis#d29	0
57	http://dl-learner.org/carcinogenesis#d91	0
58	http://dl-learner.org/carcinogenesis#d198	0
59	http://dl-learner.org/carcinogenesis#d57	0
60	http://dl-learner.org/carcinogenesis#d138	0
61	http://dl-learner.org/carcinogenesis#d18	1
62	http://dl-learner.org/carcinogenesis#d42	1
